District_Code,State_Name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Scheduled_Caste,Scheduled_Tribe,Workers_Total,Workers_Male,Workers_Female,Workers_Main,Workers_Marginal,Non_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Households_LPG_PNG,Households_Electric_Lighting,Households_Internet,Households_Computer,Households_Rural,Households_Urban,Households_Total,Education_Literate,Education_Illiterate,Education_Total,Age_0_29,Age_30_49,Age_50_plus,Households_Bicycle,Households_Car,Households_Two_Wheeler,Households_Phone,Households_TV,Households_Bathroom,Households_Toilet,State,District,Latitude,Longitude,Sex_Ratio,Literacy_Rate
4,JAMMU AND KASHMIR,140802,77785,63017,86236,56301,29935,18,122336,51873,39839,12034,28941,22932,88929,10341,108239,604,1171,20126,28,3285,15824,235,1005,40370,7774,48144,82938,39854,122792,87532,35561,17488,488,1847,652,10562,8008,11887,17649,Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,810.1433438323584,61.246289115211425
5,JAMMU AND KASHMIR,476835,251899,224936,261724,163333,98391,556,176101,161393,117677,43716,73247,88146,315442,32604,431279,958,11188,83,10,13160,62900,346,3342,132139,15269,147408,288430,164044,452474,304979,109818,61334,846,1731,2407,36358,16022,19789,16586,Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,892.9610677295266,54.88774943114495
7,JAMMU AND KASHMIR,616435,326109,290326,389204,228499,160705,141224,53307,200431,161548,38883,142847,57584,416004,540063,64234,1828,9551,24,16,32772,109422,1443,6112,181374,33473,214847,426572,181297,607869,357864,160123,97684,17726,4687,23014,88964,66944,47372,26033,Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,890.2728842196934,63.1378815284661
10,JAMMU AND KASHMIR,1236829,651124,585705,748584,431746,316838,1068,8935,407188,333151,74037,330547,76641,829641,42540,1177342,2746,12187,285,74,138119,165403,16413,33831,4518,257721,262239,904049,310225,1214274,693238,351561,190330,44501,34586,39804,157875,152945,164263,164002,Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,899.5291219491219,60.52445406761969
12,JAMMU AND KASHMIR,560440,293064,267376,293958,178326,115632,402,22607,188420,138428,49992,98306,90114,372020,13840,535159,1109,9440,35,6,16828,73629,1537,5293,147520,21703,169223,310482,190369,500851,342601,137032,80111,5479,6164,4551,65162,45967,61749,53836,Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,912.3467911445964,52.451288273499394
16,JAMMU AND KASHMIR,409936,213641,196295,219083,138620,80463,53408,39216,151912,101144,50768,79377,72535,258024,187621,220614,472,422,21,22,7963,61831,596,3077,122267,11350,133617,248131,163565,411696,263576,93189,52744,563,1804,1550,47031,19244,26716,23060,Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,918.8077194920451,53.443220405136415
19,JAMMU AND KASHMIR,554985,296784,258201,322354,197543,124811,138569,56309,243672,163845,79827,152442,91230,311313,489044,59771,1962,3418,106,57,20008,73999,1214,5744,148664,34696,183360,330760,194838,525598,339145,140785,74757,3948,3800,8953,64858,37323,21542,18063,Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,869.9963609898108,58.083371622656465
21,JAMMU AND KASHMIR,1529958,813821,716137,1137135,641916,495219,377991,69193,508622,417456,91166,410344,98278,1021336,1289240,107489,12104,114272,470,1987,197168,294739,19905,46657,254566,248043,502609,1173121,268279,1441400,816827,435895,275585,68272,44063,113156,241206,240478,231365,162522,Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,879.9686909037737,74.32458930245144
23,HIMACHAL PRADESH,519080,261320,257760,323842,186064,137778,111690,135500,294035,158791,135244,119632,174403,225045,479782,32455,1559,2745,1740,57,21458,96082,1615,5117,186395,13836,200231,344427,154575,499002,306555,130606,81566,1657,5074,8880,73995,62233,46292,52553,Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,986.3768559620388,62.3876859058334
24,HIMACHAL PRADESH,1510075,750591,759484,1152640,606443,546197,319385,84564,675170,403756,271414,313915,361255,834905,1461140,19797,3023,8929,14511,194,148361,330081,8053,22753,588321,39007,627328,1176288,271892,1448180,766581,419172,319420,38456,22727,69192,274180,272579,229975,220258,Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,1011.8479971116094,76.32998361008559
26,HIMACHAL PRADESH,437903,225452,212451,307672,174550,133122,122659,16822,269084,148829,120255,193876,75208,168819,415669,2974,1568,1396,15377,94,40064,91322,2623,7010,167995,20709,188704,310349,103136,413485,244727,120510,72282,2450,8479,6979,79454,66910,66129,55831,Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,942.3336231215513,70.26030878984615
27,HIMACHAL PRADESH,999777,498065,501712,723747,393669,330078,293739,12787,572671,297464,275207,284154,288517,427106,981412,9460,876,4081,2628,43,59324,214491,5333,16401,431129,31696,462825,763468,218570,982038,524285,279321,194661,10927,15958,26366,172205,157314,175038,181985,Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,1007.3223374459157,72.39084315802424
28,HIMACHAL PRADESH,454768,217070,237698,358091,180555,177536,109256,3044,241931,118724,123207,126153,115778,212837,449412,3711,243,591,95,293,34978,104120,2521,7525,196116,15232,211348,376978,72551,449529,224044,123941,106641,7094,6665,16955,90286,86324,86909,93858,Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,1095.0292532362832,78.74146817718045
28,HIMACHAL PRADESH,454768,217070,237698,358091,180555,177536,109256,3044,241931,118724,123207,126153,115778,212837,449412,3711,243,591,95,293,34978,104120,2521,7525,196116,15232,211348,376978,72551,449529,224044,123941,106641,7094,6665,16955,90286,86324,86909,93858,Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,1095.0292532362832,78.74146817718045
29,HIMACHAL PRADESH,521173,263692,257481,399715,213281,186434,115491,8601,215346,141612,73734,134482,80864,305827,480138,14275,390,26009,56,70,43809,105929,2412,8238,185091,20126,205217,424468,87735,512203,273223,142351,105358,41378,8059,36913,90729,88894,87268,66103,Himachal Pradesh,Una,31.58330388349513,76.18353932038836,976.4460051878707,76.69526241766171
30,HIMACHAL PRADESH,381956,192764,189192,287620,155599,132021,98989,10693,205871,111543,94328,103406,102465,176085,371973,6984,236,2387,113,10,17262,79146,1574,6281,152458,11987,164445,287961,65864,353825,193671,107367,80497,5387,6573,11397,66935,61392,61113,56814,Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,981.469569006661,75.3018672307805
30,HIMACHAL PRADESH,381956,192764,189192,287620,155599,132021,98989,10693,205871,111543,94328,103406,102465,176085,371973,6984,236,2387,113,10,17262,79146,1574,6281,152458,11987,164445,287961,65864,353825,193671,107367,80497,5387,6573,11397,66935,61392,61113,56814,Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,981.469569006661,75.3018672307805
31,HIMACHAL PRADESH,580320,308754,271566,428578,244372,184206,164536,25645,298737,190001,108736,219235,79502,281583,548579,14678,1452,13926,574,591,53722,119866,5250,14478,192787,51509,244296,423408,104084,527492,321533,167168,90808,12426,15117,25275,108699,94692,105861,90587,Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,879.5545968635224,73.85201268265784
32,HIMACHAL PRADESH,529855,276289,253566,362645,205617,157028,160745,11262,280083,169399,110684,193906,86177,249772,476830,33215,577,15501,2645,236,28904,91509,2220,8593,171102,21054,192156,368841,140486,509327,310244,136839,82471,16691,7459,17523,75406,58902,74088,60246,Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,917.7564072402448,68.44230968849968
33,HIMACHAL PRADESH,814010,425039,388971,612642,342846,269796,215777,8755,430926,258628,172298,311770,119156,383084,791449,11810,2025,4047,3262,185,108888,172754,9177,24127,279269,95896,375165,623801,137576,761377,425721,241956,145577,2813,23107,8186,161675,131450,153356,123535,Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,915.1419046252227,75.26222036584316
34,HIMACHAL PRADESH,84121,46249,37872,60699,36697,24002,14750,48746,56273,33863,22410,46782,9491,27848,64732,448,485,249,18086,29,10740,17865,354,2563,44514,0,44514,59428,16944,76372,42360,26599,15075,190,2775,857,16468,12925,13902,13521,Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,818.8717593893922,72.15677417054005
35,PUNJAB,2298323,1212617,1085706,1634719,907660,727059,580576,0,757138,637652,119486,625778,131360,1541185,1074332,27667,176587,1002874,405,580,244468,411216,14428,38445,420860,185488,606348,1528979,478020,2006999,1261421,611353,423301,280874,32484,194705,336075,365644,360051,258924,Punjab,Gurdaspur,32.04283371212125,75.3204064393939,895.3412330521509,71.12659969899792
36,PUNJAB,815168,426311,388857,576567,316254,260313,276707,0,284165,235562,48603,248208,35957,531003,336124,10190,5445,453692,6662,553,110555,161206,9732,23145,165433,95770,261203,575495,174995,750490,433331,222324,157833,107044,23561,90508,145116,144945,149071,137713,Punjab,Kapurthala,31.336592638036837,75.47641165644177,912.1439512468596,70.72983728507498
37,PUNJAB,2193590,1145211,1048379,1622537,882581,739956,854444,0,774472,639484,134988,689592,84880,1419118,1394329,30233,26016,718363,11385,4011,299449,446200,39082,79134,330339,377791,708130,1575774,387809,1963583,1159156,616431,416449,286365,72374,238203,395069,401189,422876,392909,Punjab,Jalandhar,31.250336907216507,75.54400350515463,915.4461492249027,73.96719532820627
38,PUNJAB,1586625,809057,777568,1199699,637927,561772,557504,0,499822,412506,87316,411011,88811,1086803,1000743,23089,14968,538208,3476,2034,201675,319930,13747,34328,422673,128592,551265,1227466,294723,1522189,831741,422782,330671,227316,33720,166862,278411,285904,285730,210621,Punjab,Hoshiarpur,31.55157169811319,75.8469857442349,961.0793800684006,75.61326715512487
40,PUNJAB,600163,320795,279368,426033,238696,187337,192493,0,214783,182777,32006,192845,21938,385380,152851,16808,1698,427521,48,178,64037,113683,5138,14294,117559,57337,174896,432310,142314,574624,321018,166781,111028,84834,18239,63700,98401,98080,104467,99858,Punjab,Fatehgarh Sahib,30.64290947368421,76.36208394736842,870.8614535762714,70.98621541147988
41,PUNJAB,3498739,1867816,1630923,2560225,1428348,1131877,923358,0,1284822,1053600,231222,1138654,146168,2213917,1502403,77713,16517,1863408,2007,19620,488757,703624,58589,123400,395032,641789,1036821,2372099,631980,3004079,1901528,980046,614258,461137,120172,360662,606726,604959,669232,667902,Punjab,Ludhiana,30.76596397379912,75.83110851528383,873.1711260638093,73.17564985556224
42,PUNJAB,995746,525920,469826,627889,348549,279340,363417,0,359172,292379,66793,304880,54292,636574,158414,9388,3277,818921,178,436,89445,183396,7897,21662,214295,74144,288439,638000,306336,944336,535408,258826,194768,140084,26253,85167,155841,152610,171503,167596,Punjab,Moga,30.756540067340065,75.1600845117845,893.3411925768178,63.057145095235136
43,PUNJAB,2029074,1071637,957437,1227511,707070,520441,855726,0,756695,596406,160289,618362,138333,1272379,906408,6844,19358,1090815,454,1143,141899,349662,10042,31070,348522,153868,502390,1207928,714869,1922797,1171770,525459,331259,237901,37105,148610,290671,277615,303760,274015,Punjab,Firozpur,30.63407535211269,74.40245732394365,893.434063960091,60.49611793359927
44,PUNJAB,901896,475622,426274,524848,300401,224447,381554,0,335326,272699,62627,287205,48121,566570,254920,4333,1681,638625,240,744,76441,166585,4571,14077,149507,74650,224157,544427,340886,885313,495167,242628,162297,109666,23185,62205,135144,130482,152188,133635,Punjab,Muktsar,30.31243303303303,74.5518747747748,896.2453376841273,58.19384940170485
45,PUNJAB,617508,326671,290837,381285,215767,165518,240328,0,221555,185049,36506,190415,31140,395953,141363,3125,1227,469789,155,1109,62103,113549,4348,12276,99946,58917,158863,373752,204895,578647,336540,164962,113721,82761,15528,51638,95758,93053,107033,99988,Punjab,Faridkot,30.591187250996025,74.79751553784862,890.3055367632878,61.745758759400694
46,PUNJAB,1388525,743197,645328,844868,488261,356607,450473,0,549986,432988,116998,452678,97308,838539,380569,16299,2474,984286,246,1266,118427,255650,11284,32253,218159,137563,355722,793380,438529,1231909,754927,377707,255283,176384,36173,106010,215302,204051,241449,232629,Punjab,Bathinda,30.190524611973352,75.05685898004438,868.313515797292,60.84643776669487
47,PUNJAB,769751,408732,361019,423560,244037,179523,258878,0,328512,230739,97773,247175,81337,441239,156539,10375,917,598443,123,1577,39414,140099,2673,10085,145603,50786,196389,434158,311513,745671,420050,200882,146103,90845,12805,48117,111889,102314,128019,99571,Punjab,Mansa,29.919547714285724,75.4304922857143,883.2658074239355,55.025586196055606
48,PUNJAB,1895686,1002522,893164,1266791,711052,555739,465359,0,660267,549661,110606,570391,89876,1235419,783306,40043,5683,1059944,245,1914,209192,352929,24274,55105,299279,218090,517369,1280816,518772,1799588,1042519,517079,335100,253101,57008,193945,303548,308440,327085,309524,Punjab,Patiala,30.214540380693364,76.27505893949697,890.9171070560049,66.82493830729351
49,PUNJAB,2490656,1318408,1172248,1684770,932981,751789,770864,0,917856,735195,182661,787254,130602,1572800,690939,12502,54344,1716935,876,3152,279993,461231,29961,63864,275477,385476,660953,1485800,540010,2025810,1384987,667193,436496,286368,56185,225063,379572,413460,430958,379230,Punjab,Amritsar,31.548679820627772,74.79883856502238,889.1390222146711,67.6436248120977
51,PUNJAB,684627,357485,327142,502731,278534,224197,180905,0,233676,186910,46766,194209,39467,450951,304481,14492,2094,361045,118,653,67749,129123,6600,17542,148162,60537,208699,492696,124100,616796,365300,185424,131707,95548,17248,72313,114425,111937,114310,88385,Punjab,Rupnagar,30.910937330754347,76.53743500967126,915.1209141642307,73.43137211941685
53,PUNJAB,1655169,878029,777140,1002077,570413,431664,461609,0,568758,485129,83629,499792,68966,1086411,389410,179116,2406,1077438,268,3222,135280,305557,10736,30955,292156,156788,448944,1054379,570103,1624482,904316,435148,311621,240629,35264,146931,252535,244837,282915,259912,Punjab,Sangrur,30.185045204336895,75.89437014178496,885.0960503582455,60.54227695177955
55,CHANDIGARH,1055450,580663,474787,805438,465346,340092,199086,0,404136,328159,75977,385929,18207,651314,852574,51447,8720,138329,1160,1960,168344,231204,44283,78113,8911,289456,298367,731491,184265,915756,602411,303748,148945,135055,60494,109701,209783,193932,210801,206017,Chandigarh,Chandigarh,30.7426,76.75872465753424,817.6636017793454,76.31228385996495
56,UTTARAKHAND,330086,168597,161489,215126,128237,86889,80567,3512,157276,84265,73011,128367,28909,172810,324859,3554,353,167,563,74,21374,52621,602,4104,112148,9061,121209,213460,83896,297356,202426,75997,51245,1353,1637,4046,43020,29400,36136,29106,Uttaranchal,Uttarkashi,30.968958552036234,78.56880615384617,957.8402937181563,65.17271256581618
57,UTTARAKHAND,391605,193991,197614,280556,155395,125161,79317,12260,180940,93832,87108,115115,65825,210665,385818,4395,428,323,190,11,27853,71524,899,5582,163434,22906,186340,293196,61950,355146,229715,93182,67873,861,2516,2311,59079,46579,46547,45572,Uttaranchal,Chamoli,30.58338611464965,79.56281095541402,1018.6761241500894,71.6425990475096
59,UTTARAKHAND,618931,297986,320945,407994,227406,180588,102130,875,280442,140821,139621,165912,114530,338489,609835,7374,656,290,32,91,50929,117239,1366,7831,227059,27177,254236,436261,133013,569274,368324,139371,109998,3876,4324,9697,98205,68294,78515,74477,Uttaranchal,Tehri Garhwal,30.463700918635173,78.48783792650917,1077.047243830247,65.91914122898999
62,UTTARAKHAND,483439,239306,244133,345550,189623,155927,120378,19535,216490,113539,102951,145481,71009,266949,475105,6015,1401,260,185,13,45365,95421,1344,7932,183687,26256,209943,371448,88036,459484,273494,116749,92517,1600,3008,6136,67332,58954,58037,61543,Uttaranchal,Pithoragarh,30.14720631868129,80.34229230769236,1020.1708273089685,71.47747699296086
63,UTTARAKHAND,259898,124326,135572,179483,97546,81937,72061,1982,123638,58708,64930,78085,45553,136260,257509,1440,397,46,102,7,13352,47083,435,3595,96031,3880,99911,199825,49539,249364,147488,60569,51672,975,1149,2005,35364,25873,28198,31604,Uttaranchal,Bageshwar,29.98703393393397,79.83954354354357,1090.4557373357143,69.0590154599112
64,UTTARAKHAND,622506,291081,331425,436497,231604,204893,150995,1281,298211,142460,155751,201078,97133,324295,611250,7752,1895,256,201,31,40199,109876,1830,9858,260056,21082,281138,495882,109556,605438,351595,141238,128994,2673,3396,6719,98610,70237,77118,76958,Uttaranchal,Almora,29.683532133676103,79.50165064267351,1138.6005957104724,70.11932415109253
65,UTTARAKHAND,259648,131125,128523,177726,102015,75711,47383,1339,99566,60427,39139,62698,36868,160082,249563,8693,870,336,24,28,18785,37725,548,3159,85202,12839,98041,188383,62429,250812,156916,60722,41913,7523,1387,5151,31466,22588,24002,24284,Uttaranchal,Champawat,29.29142393939393,80.07720212121217,980.1563393708293,68.44882302193739
67,UTTARAKHAND,1648902,858783,790119,1037839,598525,439314,238264,123037,591458,444578,146880,450762,140696,1057444,1104452,372267,6064,162768,505,738,116576,254802,7883,28053,269406,145253,414659,1120419,438598,1559017,1042614,392370,212223,194624,16841,88369,228966,192243,207469,207848,Uttaranchal,Udham Singh Nagar,29.02779577677222,79.45629004524895,920.0449939041644,62.94121785284996
69,HARYANA,561293,299679,261614,405318,229862,175456,101830,0,211479,164865,46614,182831,28648,349814,490702,23451,2583,40951,1008,1626,69687,103455,18615,32174,70895,93656,164551,388559,119222,507781,309078,157076,93606,42737,29497,49972,92486,88378,94560,77967,Haryana,Panchkula,30.700897142857134,76.97173238095236,872.9807560756676,72.2114831291322
70,HARYANA,1128350,598703,529647,818025,461288,356737,296246,0,372139,320120,52019,319475,52664,756211,955096,22143,3705,138202,381,4845,121622,199681,12899,32767,175365,139891,315256,793235,222031,1015266,617859,308126,201685,133676,26122,92424,170149,172034,186183,142922,Haryana,Ambala,30.3503672316384,76.94970310734456,884.6573342709156,72.49745203172775
72,HARYANA,964655,510976,453679,646893,370828,276065,215128,0,336780,268556,68224,285904,50876,627875,805175,15970,1943,140395,214,375,90150,171908,7356,21951,203553,88268,291821,642789,266638,909427,552034,250830,160216,107683,20261,73765,145855,143316,152922,136321,Haryana,Kurukshetra,30.05652659846548,76.78774680306903,887.8675319388778,67.05951868802836
73,HARYANA,1074304,571003,503301,646529,385782,260747,247513,0,373899,292696,81203,290663,83236,700405,974520,8232,1769,87558,265,351,62668,187349,3724,15301,231091,75696,306787,662470,369869,1032339,630194,265813,176320,95704,12792,59238,153352,140195,153556,126896,Haryana,Kaithal,29.96068539094649,76.37698930041155,881.4331973737442,60.18119638389133
74,HARYANA,1505324,797712,707612,978013,564516,413497,339604,0,516062,411646,104416,411533,104529,989262,1341002,31650,2049,126207,532,1516,143133,267223,11163,29253,292682,135920,428602,1004186,429220,1433406,884972,380409,234684,143754,26238,108101,215865,215813,238149,215989,Haryana,Karnal,29.703200647249204,76.87488025889972,887.0519686302825,64.97026553751883
75,HARYANA,1205437,646857,558580,786599,464136,322463,206213,0,412318,328667,83651,339016,73302,793119,1083936,86622,2261,25064,289,4647,121846,209965,10024,26719,173502,153804,327306,752884,296212,1049096,739075,298764,167244,90548,17466,74923,172677,162321,191098,176766,Haryana,Panipat,29.34352134146342,76.92895914634147,863.52934265224,65.25426048810515
77,HARYANA,1334152,713006,621146,832758,502049,330709,282351,0,523422,368277,155145,385851,137571,810730,1276669,23016,889,29103,172,2594,78386,222462,5263,23750,278335,89665,368000,815843,419624,1235467,784085,335704,213478,113068,15836,61694,193577,160742,186317,146428,Haryana,Jind,29.45149821958457,76.29598575667653,871.1651795356561,62.41852502563427
78,HARYANA,942011,495360,446651,557578,327471,230107,284357,0,369083,263498,105585,286258,82825,572928,779243,8360,996,150969,171,1172,51693,153301,3210,13142,203020,55360,258380,542399,344534,886933,555745,237009,147469,86268,14030,52633,136196,107042,152219,134586,Haryana,Fatehabad,29.57298318584072,75.54608716814157,901.6694928940568,59.19017930788494
79,HARYANA,1295189,682582,612607,782897,456968,325929,387381,0,502003,369462,132541,399169,102834,793186,940255,9524,2186,338962,370,2256,70538,215527,6287,22706,245476,93316,338792,792628,412353,1204981,750228,334344,208185,117760,24468,75692,190983,150315,216307,215371,Haryana,Sirsa,29.63583446327684,74.90970480225988,897.4848443117456,60.446544867196984
80,HARYANA,1743931,931562,812369,1114311,670200,444111,408785,0,691621,488321,203300,531227,160394,1052310,1701061,21650,1945,12270,334,3620,110495,285004,10132,33400,302013,154113,456126,1093767,505251,1599018,1017830,456536,265109,147721,24642,90721,259276,202588,273915,231144,Haryana,Hisar,29.23628731117825,75.84324682779452,872.05038419343,63.89650737328484
81,HARYANA,1634445,866672,767773,1069871,643158,426713,341162,0,623006,430678,192328,445675,177331,1011439,1611031,15515,873,2401,254,1016,88938,266244,5292,25236,357047,99235,456282,1093788,459364,1553152,964960,405760,261428,99232,16793,66069,242718,176336,241914,175689,Haryana,Bhiwani,28.728868064516128,76.02110225806452,885.8864714678679,65.45775477302693
82,HARYANA,1061204,568479,492725,747582,436025,311557,216889,0,345967,272646,73321,288949,57018,715237,1043887,8185,732,3916,200,3491,94633,193120,8482,27225,175203,131739,306942,808357,248795,1057152,605741,269354,185685,91682,16545,63575,160621,150160,174390,147990,Haryana,Rohtak,28.892517647058817,76.53123235294117,866.7426589196787,70.44658708410448
83,HARYANA,958405,514667,443738,676091,399480,276611,170448,0,326534,250020,76514,246457,80077,631871,945693,8247,734,1042,105,645,70149,168558,5034,19241,211816,78328,290144,627288,201028,828316,549975,245095,162356,69952,14298,52868,145032,128007,153834,123545,Haryana,Jhajjar,28.59651868131869,76.61137142857145,862.1846747508583,70.5433506711672
84,HARYANA,922088,486665,435423,630255,380440,249815,156314,0,338584,232935,105649,212402,126182,583504,913251,5660,301,1737,75,644,45359,135455,2624,13908,223726,44216,267942,654072,245602,899674,530000,229392,161258,54810,8538,45775,133653,88012,113329,74605,Haryana,Mahendragarh,28.1352161458333,76.14018072916659,894.7078585885569,68.35085154562255
85,HARYANA,900332,474335,425997,636947,375453,261494,182606,0,337727,235326,102401,250219,87508,562605,889133,5713,701,1804,202,1525,62667,152651,5121,18092,199449,69305,268754,635173,206827,842000,518747,230704,150557,71366,12161,58897,137152,108753,134804,100436,Haryana,Rewari,28.19164714828897,76.55956007604564,898.0931198414622,70.74579155244955
86,HARYANA,1514432,816690,697742,1111116,638666,472450,197937,0,544716,432456,112260,487441,57275,969716,1408801,70842,9725,15097,944,7451,238359,305751,67087,102343,141703,381988,523691,1123831,263720,1387551,875531,428101,210307,103261,92934,131478,274931,248024,290709,271169,Haryana,Gurgaon,28.043894789579163,77.01935130260523,854.3535490822711,73.3684972319655
88,HARYANA,1809733,966110,843623,1272739,734940,537799,223799,0,579229,476933,102296,495316,83913,1230504,1588407,161680,9743,34572,640,4883,258422,333171,43437,82673,87700,382981,470681,1306146,346567,1652713,1095602,481318,231029,170927,63470,152884,302937,279652,313812,296399,Haryana,Faridabad,28.14873109756098,77.32718536585368,873.2163004212771,70.32744609287668
93,NCT OF DELHI,1709346,907500,801846,1352998,748382,604616,281422,0,579692,486951,92741,555026,24666,1129654,1410852,178807,15792,53027,2643,46927,327253,352758,80037,127465,1086,461132,462218,1334283,169693,1503976,948963,497157,262124,103064,87499,162670,329844,320151,333378,331089,Sikkim,East,27.29600352941175,88.74908392156858,883.5768595041322,79.15296259505097
99,RAJASTHAN,1969168,1043340,925828,1193343,710908,482435,720412,13477,912672,596320,316352,680563,232109,1056496,1437144,50688,2077,474853,938,1988,88543,283142,6295,24901,397697,164897,562594,1181845,710223,1892068,1167889,502211,283484,149905,21515,85320,284669,181616,332389,316783,Rajasthan,Ganganagar,29.256785412667963,73.56192303262948,887.3694097801292,60.6013808877658
100,RAJASTHAN,1774692,931184,843508,1034136,624281,409855,494189,14289,835260,512802,322458,642109,193151,939432,1433067,118673,1542,216997,241,1935,55515,243163,3360,16217,389059,108694,497753,1088552,723454,1812006,1058044,453114,242361,93418,16537,56973,249474,140280,278085,278373,Rajasthan,Hanumangarh,29.1813351791531,74.74632573289902,905.8446021409302,58.271294399253506
101,RAJASTHAN,2363937,1240801,1123136,1278801,782399,496402,493646,7779,986208,640572,345636,752768,233440,1377729,2073356,235741,1901,20072,285,30850,108812,220793,7607,29531,335754,196179,531933,1341957,1015331,2357288,1543867,517271,288165,97914,17113,68379,287946,138480,301031,195188,Rajasthan,Bikaner,28.12489068322981,73.26943322981371,905.170128006022,54.09623860534354
102,RAJASTHAN,2039547,1051446,988101,1149269,696729,452540,451721,11245,902829,541404,361425,628381,274448,1136718,1777879,249736,958,402,188,7104,74197,231696,2577,15259,344897,148996,493893,1228712,910226,2138938,1293193,458725,272176,46531,9938,27698,268431,131174,268120,200805,Rajasthan,Churu,28.29330375536484,74.65846427038629,939.7543953755114,56.34922852966859
103,RAJASTHAN,2137045,1095896,1041149,1370360,815834,554526,360709,41629,894649,541392,353257,592813,301836,1242396,1905682,228178,1004,275,56,548,131987,297559,4828,24178,500452,150357,650809,1536668,712584,2249252,1298780,494124,330126,74695,15861,59920,314807,189511,297078,205571,Rajasthan,Jhunjhunun,28.13517401247401,75.52840893970894,950.0436172775519,64.12405915645202
104,RAJASTHAN,3674179,1939026,1735153,2182476,1359829,822647,653036,289249,1708542,994171,714371,1179461,529081,1965637,3039279,547335,2696,64532,4384,13221,123478,485723,9750,45770,782294,212967,995261,2262867,1384905,3647772,2346721,836000,490137,242678,30207,179435,477446,258862,330836,172919,Rajasthan,Alwar,27.55271738035265,76.65359630562563,894.8580369732019,59.40037216477477
105,RAJASTHAN,2548462,1355726,1192736,1480869,943910,536959,557305,54090,1071154,647198,423956,694929,376225,1477308,2143046,371286,1576,23456,899,5758,61113,288723,4179,26106,479437,129697,609134,1524305,1104824,2629129,1659515,546362,329127,152915,10349,99846,303255,160190,198184,85903,Rajasthan,Bharatpur,27.32411858037578,77.21752077244258,879.7765920252323,58.108341423179944
106,RAJASTHAN,1206516,653647,552869,683098,435721,247377,245695,58594,523212,339110,184102,317617,205595,683304,1127520,72258,688,1356,92,2739,24561,96086,1330,9504,214670,58626,273296,682444,552106,1234550,815651,248416,141365,80614,3614,31120,117770,51423,77503,33172,Rajasthan,Dhaulpur,26.72397054945053,77.74476219780222,845.821980365549,56.617400846735556
107,RAJASTHAN,1458248,783639,674609,805849,531904,273945,354465,324960,628726,371058,257668,438337,190389,829522,1370977,81553,602,297,70,3424,28296,132079,1059,13045,305047,59308,364355,840673,668926,1509599,947173,310688,192042,52008,3820,35486,166652,49752,69366,41754,Rajasthan,Karauli,26.51901555555556,76.96081818181815,860.8670574078116,55.26145072717398
108,RAJASTHAN,1335551,704031,631520,741748,486184,255564,278789,285848,578068,343802,234266,418555,159513,757483,1165505,155681,945,812,177,9991,40116,140947,1887,14310,282057,71264,353321,759711,586492,1346203,841697,309237,183234,66594,4398,41953,171024,61935,81379,52475,Rajasthan,Sawai Madhopur,26.251081180223288,76.4219283891548,897.005955703655,55.53872521528568
109,RAJASTHAN,1634409,857787,776622,938051,596935,341116,354337,433344,684495,398151,286344,506214,178281,949914,1582335,45488,439,296,94,3737,35600,195277,1719,14539,361084,59610,420694,1005436,681980,1687416,1047136,358718,210117,84799,6664,62106,202591,82113,85330,50480,Rajasthan,Dausa,26.91234817629181,76.57342097264443,905.378607976106,57.39389589753849
110,RAJASTHAN,6626178,3468507,3157671,4300965,2554793,1746172,1003302,527966,2464893,1714947,749946,2060010,404883,4161285,5819980,687452,12708,18782,1020,81079,570997,990085,76565,182350,754841,977838,1732679,4433665,2046038,6479703,4091148,1646480,884057,393025,142866,523398,974168,764302,816767,694107,Rajasthan,Jaipur,27.033459290187885,75.77117286012533,910.3833436115308,64.90868491610095
111,RAJASTHAN,2677333,1374990,1302343,1652117,995275,656842,418806,75349,1006504,657854,348650,698711,307793,1670829,2342076,327583,1122,356,177,4050,131342,339457,5647,28382,527560,178274,705834,1859871,967497,2827368,1672813,605002,381226,76325,22494,77340,384989,218772,328313,222955,Rajasthan,Sikar,27.64644058641976,75.29317422839503,947.1654339304287,61.7075649536311
