District_Code,State_Name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Scheduled_Caste,Scheduled_Tribe,Workers_Total,Workers_Male,Workers_Female,Workers_Main,Workers_Marginal,Non_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Households_LPG_PNG,Households_Electric_Lighting,Households_Internet,Households_Computer,Households_Rural,Households_Urban,Households_Total,Education_Literate,Education_Illiterate,Education_Total,Age_0_29,Age_30_49,Age_50_plus,Households_Bicycle,Households_Car,Households_Two_Wheeler,Households_Phone,Households_TV,Households_Bathroom,Households_Toilet,State,District,Latitude,Longitude,Sex_Ratio,Literacy_Rate
224,BIHAR,3037766,1615663,1422103,1573066,937669,635397,318569,67180,983528,740056,243472,534129,449399,2054238,2487866,537098,3556,415,180,1050,63241,174534,6764,46929,522527,130634,653161,1976417,1139715,3116132,1952879,674660,397654,220531,8644,47618,308044,117040,208730,189954,Bihar,Bhagalpur,25.277192885375477,87.04213814229242,880.1977887715445,51.78364627163514
225,BIHAR,2034763,1067140,967623,965321,590961,374360,247858,90432,771080,517817,253263,374097,396983,1263683,1772655,250925,6138,139,113,94,15459,62359,1704,22300,425604,18492,444096,1214645,879831,2094476,1291235,462080,278863,159201,3258,24398,181116,32859,88429,46555,Bihar,Banka,24.832355642023337,86.8664916342413,906.7441947635737,47.44144649770023
226,BIHAR,1367765,729041,638724,801817,473741,328076,183846,21404,426658,327453,99205,233402,193256,941107,1252319,110416,1815,338,95,145,49141,90461,2653,17946,222281,85782,308063,849734,498676,1348410,860147,316713,188319,112707,3755,24259,149671,69973,109560,102385,Bihar,Munger,25.198537962962963,86.54173672839504,876.1153350771767,58.62242417374329
227,BIHAR,1000912,526345,474567,507270,305182,202088,153209,8333,326576,240494,86082,201866,124710,674336,956396,40886,487,140,52,78,12938,44491,1186,8862,175882,31763,207645,597955,450967,1048922,650642,218840,130655,49052,2415,9577,95917,31048,60658,52316,Bihar,Lakhisarai,25.183449321266963,86.12825701357468,901.6272596870873,50.68077912943396
228,BIHAR,636342,329743,306599,328676,196431,132245,131115,617,224655,151569,73086,148002,76653,411687,596102,37653,313,75,41,43,6803,20065,631,8873,108293,24345,132638,409518,305609,715127,413475,136898,85045,33652,1728,6933,61568,16279,35018,30019,Bihar,Sheikhpura,25.12472436548223,85.77839390862943,929.8120051070076,51.65084184290837
229,BIHAR,2877653,1497060,1380593,1519933,919558,600375,607672,1442,1045420,703405,342015,740949,304471,1832233,2669775,198033,1978,393,414,561,43761,101378,4156,43848,514141,102522,616663,1985188,1324385,3309573,1829128,642197,403129,121583,7955,29239,273472,87070,180298,149675,Bihar,Nalanda,25.229345508982053,85.48053113772461,922.2028509211387,52.818494794195125
230,BIHAR,5838465,3078512,2759953,3459679,2028047,1431632,920918,9069,1881886,1436411,445475,1371267,510619,3956579,5356075,439952,12551,4803,1062,2151,321307,546859,40692,132582,657991,552103,1210094,4920726,2590473,7511199,3626564,1382654,815638,430595,49821,176114,662665,453344,562795,507581,Bihar,Patna,25.40297114503818,85.3198433587787,896.5217611625357,59.25665393215511
231,BIHAR,2728407,1430380,1298027,1599151,973486,625665,425402,13977,822493,640283,182210,512009,310484,1905914,2518216,197819,2165,544,647,1472,45763,62153,3661,34658,434559,77368,511927,2172525,1005140,3177665,1722387,613072,387389,206776,7391,43689,268330,87879,216412,112983,Bihar,Bhojpur,25.50666439393939,84.49407803030304,907.4700429256561,58.61116028510409
232,BIHAR,1706352,887977,818375,989807,593544,396263,251737,26824,538322,402180,136142,328547,209775,1168030,1591454,105423,2125,248,5090,97,27362,46760,1784,19324,299252,35405,334657,1344677,457814,1802491,1074754,375372,253998,137996,5341,26325,174119,48405,130771,64826,Bihar,Buxar,25.48593018867924,84.08808081760995,921.6173391878393,58.00719898356259
234,BIHAR,2959918,1543546,1416372,1799832,1061783,738049,549546,31650,924879,707939,216940,542439,382440,2035039,2645415,300487,2889,2569,1584,252,41659,114893,4594,36279,512383,95678,608061,2188753,876443,3065196,1875174,673742,407193,224824,10819,49892,312557,106218,248462,128652,Bihar,Rohtas,24.99170460829495,83.9350762672811,917.609193376809,60.806819648382145
